wavelength,fractal_dimension,fraction_of_coating,equi_mobility_dia,mie_epsilon,length_scale_factor,m_real_bc,m_im_bc,m_real_organics,m_im_organics,volume_total,volume_bc,volume_organics,density_bc,density_organics,mass_bc,mass_organics,mass_total,mr_total/bc,mr_nonBC/BC,q_ext,q_abs,q_sca,g,c_geo,c_ext,c_abs,c_sca,ssa,mac_total,mac_bc,mac_organics
660,1.5,0,23.8296,2,0.095199777,2,0.63,1.47,0,14137.16694,14137.16694,0,1.5,1.1,2.12E-17,0,2.12E-17,1,0,0.1173,0.11691,0.00038915,0.0037985,706.8583471,0.0000829,0.0000826,0.000000275,0.003317562,3.897,3.897,0
660,1.5,0,33.93454654,2,0.095199777,2,0.63,1.47,0,28274.33388,28274.33388,0,1.5,1.1,4.24E-17,0,4.24E-17,1,0,0.154,0.153,0.0010054,0.0089787,1122.067684,0.000172798,0.000171676,0.00000113,0.006528571,4.047872683,4.047872683,0
660,1.5,0,48.32449764,2,0.095199777,2,0.63,1.47,0,56548.66776,56548.66776,0,1.5,1.1,8.48E-17,0,8.48E-17,1,0,0.20312,0.2006,0.0025138,0.02297,1781.171422,0.000361792,0.000357303,0.00000448,0.012375935,4.212336043,4.212336043,0
660,1.5,0,59.42564307,2,0.095199777,2,0.63,1.47,0,84823.00165,84823.00165,0,1.5,1.1,1.27E-16,0,1.27E-16,1,0,0.2358,0.23162,0.0041868,0.037044,2333.994837,0.000550356,0.0005406,0.00000977,0.017755725,4.248846608,4.248846608,0
660,1.5,0,68.81651032,2,0.095199777,2,0.63,1.47,0,113097.3355,113097.3355,0,1.5,1.1,1.7E-16,0,1.7E-16,1,0,0.26344,0.25746,0.0059881,0.051049,2827.433388,0.000744859,0.000727951,0.0000169,0.022730413,4.291,4.291,0
660,1.5,0,77.11107407,2,0.095199777,2,0.63,1.47,0,141371.6694,141371.6694,0,1.5,1.1,2.12E-16,0,2.12E-16,1,0,0.28612,0.27838,0.0077406,0.067591,3280.945811,0.000938744,0.00091335,0.0000254,0.027053684,4.307084998,4.307084998,0
660,1.5,0,84.62509864,2,0.095199777,2,0.63,1.47,0,169646.0033,169646.0033,0,1.5,1.1,2.54E-16,0,2.54E-16,1,0,0.30889,0.29935,0.0095398,0.084519,3704.98586,0.001144433,0.001109088,0.0000353,0.030884134,4.358438535,4.358438535,0
660,1.5,0,91.54656441,2,0.095199777,2,0.63,1.47,0,197920.3372,197920.3372,0,1.5,1.1,2.97E-16,0,2.97E-16,1,0,0.32885,0.31766,0.011185,0.10668,4105.988682,0.001350254,0.001304308,0.0000459,0.034012468,4.393378276,4.393378276,0
660,1.5,0,97.99816497,2,0.095199777,2,0.63,1.47,0,226194.6711,226194.6711,0,1.5,1.1,3.39E-16,0,3.39E-16,1,0,0.34503,0.33229,0.012741,0.12734,4488.270735,0.001548588,0.001491407,0.0000572,0.036927224,4.395645796,4.395645796,0
660,1.5,0,104.0652496,2,0.095199777,2,0.63,1.47,0,254469.0049,254469.0049,0,1.5,1.1,3.82E-16,0,3.82E-16,1,0,0.35897,0.34472,0.014248,0.14571,4854.904904,0.001742765,0.001673583,0.0000692,0.039691339,4.38450993,4.38450993,0
660,1.5,0,109.8100401,2,0.095199777,2,0.63,1.47,0,282743.3388,282743.3388,0,1.5,1.1,4.24E-16,0,4.24E-16,1,0,0.37239,0.35667,0.015724,0.16273,5208.176831,0.001939473,0.0018576,0.0000819,0.04222455,4.379945049,4.379945049,0
660,1.5,0,120.5103883,2,0.095199777,2,0.63,1.47,0,339292.0066,339292.0066,0,1.5,1.1,5.09E-16,0,5.09E-16,1,0,0.39875,0.38016,0.018592,0.19335,5881.298452,0.002345168,0.002235834,0.000109345,0.046625705,4.393137034,4.393137034,0
660,1.5,0,130.366903,2,0.095199777,2,0.63,1.47,0,395840.6744,395840.6744,0,1.5,1.1,5.94E-16,0,5.94E-16,1,0,0.42314,0.40198,0.021154,0.22394,6517.850753,0.002757963,0.002620046,0.000137879,0.04999291,4.412626621,4.412626621,0
660,1.5,0,139.554306,2,0.095199777,2,0.63,1.47,0,452389.3421,452389.3421,0,1.5,1.1,6.79E-16,0,6.79E-16,1,0,0.4451,0.42183,0.023276,0.25718,7124.685686,0.003171198,0.003005406,0.000165834,0.052293867,4.428937471,4.428937471,0
660,1.5,0,148.194139,2,0.095199777,2,0.63,1.47,0,508938.0099,508938.0099,0,1.5,1.1,7.63E-16,0,7.63E-16,1,0,0.46457,0.43901,0.025569,0.27757,7706.681152,0.003580293,0.00338331,0.000197052,0.055037992,4.431856175,4.431856175,0
660,1.5,0,156.3750091,2,0.095199777,2,0.63,1.47,0,565486.6776,565486.6776,0,1.5,1.1,8.48E-16,0,8.48E-16,1,0,0.48295,0.45506,0.027889,0.29102,8267.465381,0.003992772,0.003762193,0.000230571,0.057747179,4.43534504,4.43534504,0
