wavelength,fractal_dimension,fraction_of_coating,equi_mobility_dia
530,2.9,70,221.303247539309
660,2.7,30,288.21643399195
660,2.5,50,242.294990567015
467,2.1,60,771.134907337941
467,2.3,90,176.990024529176
467,2.7,15,162.601867756029
467,2.7,90,104.688311081234
467,2.3,40,190.24034889729
660,1.9,70,146.343926362268
530,1.7,80,713.38690400371
467,1.7,90,494.572579039441
660,2.3,90,1253.16801910163
467,2.9,60,195.753667965888
467,1.7,5,74.538492301518
467,2.3,10,35.0656980923666
660,1.9,1,357.707246645646
660,2.7,80,71.2192340443975
530,2.9,50,92.0769610783458
660,2.7,20,160.049670095393
530,1.9,1,570.791034353083
